time,tBRAF,tCRAF,tRAS,tMEK,tERK,tDUSP,tEGFR,tGRB2,tSPRY,tSOS1,pERK,pS1134SOS1,pMEK,tEGF,SOS1_active,SOS1_signaling_competent,GRB2_bound_by_SPRY,uS1134SOS1,RAS_gtp,RAS_gdp,active_RAF_monomers,inhibited_RAF_monomers,active_RAF_dimers,inhibited_RAF_dimers,active_pMEK,inhibited_pMEK,uMEK,uERK,tRAFi,tMEKi,tBRAF_obs,tCRAF_obs,tRAS_obs,tMEK_obs,tDUSP_obs,tEGFR_obs,tGRB2_obs,tSPRY_obs,tSOS1_obs,tERK_obs,pERK_obs,pS1134SOS1_obs,pMEK_obs,pMEK_IF_obs,pERK_IF_obs,Cell_line,Parameter_set,Drug A,Drug B,Concentration A (uM),Concentration B (uM),Time A (h),Time B (h),EGF (ng/mL),EGF total duration (h)
-9.25,0.0018388331062790387,0.020942398000935405,0.07541912736356027,0.11422111235718474,0.08459643622690294,0.004696406065030404,0.01869586300981249,0.0747138230834117,0.015821608822509062,0.010568201488811688,0.0008097646908624096,0.0009792692358822847,0.012821215272335618,-7.249382555303228e-23,-5.06242088335925e-25,0.0012105003036666107,0.011884623778063758,0.009588932252929405,-5.686819622898666e-23,0.07541912736356027,6.86562118314497e-05,0.0017701768944475885,6.107032757106841e-41,7.920974188370432e-40,0.012821215272335618,0.0,0.10139989708484913,0.08378667153604054,1.0219306519962894,0.0,1107.371180016041,12611.80686135756,45418.46009797276,68785.56163787418,2828.2418389730806,11258.911867476807,44993.715932604246,9527.995537880743,6364.319694566555,50945.16467527728,0.009572089877290744,0.09266186275110429,0.11224908432201183,0.24472363321250906,0.10772830913581194,A375_sim,0,Vemurafenib,Cobimetinib,1.0,0.0,24,24,100,2
-9.0,0.001838833106278733,0.020942398000938087,0.07541912736356027,0.11422111235720929,0.08459643622695422,0.00462810371555111,0.018571959806804022,0.07471382308699524,0.015529090311531556,0.010568201488810075,0.0008208298872749235,0.0009911945536437063,0.012821215272335517,-7.265197793321878e-23,-4.824551727083469e-25,0.001212738857549885,0.011674620957124262,0.009577006935166369,-5.825966290426409e-23,0.07541912736356027,6.86562118314395e-05,0.001770176894447293,6.212342423289113e-41,8.052037865637733e-40,0.012821215272335517,0.0,0.10139989708487378,0.08377560633967929,1.0219306519962923,0.0,1107.371180015857,12611.806861359175,45418.46009797276,68785.56163788897,2787.1092026927786,11184.295614563622,44993.7159347623,9351.836773079527,6364.319694565583,50945.16467530815,0.009702889671059095,0.09379027781531346,0.11224908432198683,0.24472363321246238,0.10822537890712577,A375_sim,0,Vemurafenib,Cobimetinib,1.0,0.0,24,24,100,2
-8.75,0.0018388331062788607,0.020942398000941727,0.07541912736356027,0.11422111235721955,0.08459643622709634,0.004561758827346683,0.018451440430533393,0.07471382306848628,0.01526261081828998,0.010568201488808559,0.0008318813907356077,0.0010030771125645814,0.01282121527233668,-7.26754941350059e-23,-4.24439350825894e-25,0.0012146615027615422,0.011483022845873513,0.009565124376243978,-5.489464592390373e-23,0.07541912736356027,6.865621183144636e-05,0.0017701768944474153,-1.641314595815535e-41,-2.2182688746288285e-40,0.01282121527233668,0.0,0.10139989708488287,0.08376455483636072,1.0219306519962952,0.0,1107.3711800159338,12611.806861361369,45418.46009797276,68785.56163789515,2747.1553771454264,11111.71714974271,44993.71592361594,9191.359071284103,6364.31969456467,50945.16467539375,0.00983352760277572,0.09491464688923779,0.11224908432198692,0.24472363321246254,0.10872183356483187,A375_sim,0,Vemurafenib,Cobimetinib,1.0,0.0,24,24,100,2
-8.5,0.001838833106279,0.020942398000943597,0.07541912736356027,0.11422111235724046,0.0845964362272521,0.004497320536227653,0.01833422085650149,0.0747138230698505,0.015020616728688558,0.010568201488808658,0.0008429139139168811,0.001014911465842126,0.012821215272338888,-7.363536327027456e-23,-4.291320124966602e-25,0.0012162901295848217,0.011308694002508097,0.00955329002296653,-5.197714225358252e-23,0.07541912736356027,6.865621183145262e-05,0.001770176894447547,-8.409180771930466e-41,-1.1075117963863706e-39,0.012821215272338888,0.0,0.10139989708490156,0.08375352231333523,1.0219306519962972,0.0,1107.3711800160177,12611.806861362495,45418.46009797276,68785.56163790774,2708.3497312001605,11041.125872277973,44993.7159244375,9045.626824217321,6364.31969456473,50945.16467548755,0.009963941171854503,0.09603445457743028,0.1122490843219857,0.2447236332124602,0.10921743559210279,A375_sim,0,Vemurafenib,Cobimetinib,1.0,0.0,24,24,100,2
-8.25,0.0018388331062786257,0.020942398000939496,0.07541912736356027,0.11422111235726182,0.08459643622720742,0.004434739195917112,0.018220218972219364,0.07471382307228246,0.014801642020947341,0.01056820148880554,0.000853921738392349,0.0010266919229527968,0.012821215272337651,-7.320444788741796e-23,-4.986194732574345e-25,0.0012176384316974263,0.011150804546173048,0.009541509565852743,-5.471629610079887e-23,0.07541912736356027,6.865621183143626e-05,0.001770176894447189,-2.0374620939717965e-41,-2.736603149696645e-40,0.012821215272337651,0.0,0.10139989708492417,0.08374251448881506,1.0219306519962938,0.0,1107.3711800157923,12611.806861360026,45418.46009797276,68785.5616379206,2670.662367170206,10972.472332872752,44993.715925902055,8913.757172927575,6364.319694562852,50945.16467546063,0.01009406278178082,0.09714916242279532,0.1122490843219539,0.24472363321240087,0.1097119281063923,A375_sim,0,Vemurafenib,Cobimetinib,1.0,0.0,24,24,100,2
-8.0,0.0018388331062781538,0.020942398000932845,0.07541912736356027,0.11422111235726692,0.08459643622707877,0.004373966341218345,0.018109354520813744,0.07471382305518977,0.014604302709921926,0.010568201488808264,0.0008648988325882803,0.0010384124883937096,0.012821215272334643,-7.315187038918551e-23,-5.444337165859333e-25,0.001218732038993109,0.011008223995544127,0.009529789000414554,-6.041815082161445e-23,0.07541912736356027,6.86562118314149e-05,0.0017701768944467387,7.406608040232346e-41,9.608879671530518e-40,0.012821215272334643,0.0,0.10139989708493229,0.08373153739449049,1.0219306519962865,0.0,1107.3711800155081,12611.806861356019,45418.46009797276,68785.56163792367,2634.0640986319063,10905.70819970827,44993.7159156086,8794.916662079928,6364.319694564492,50945.16467538316,0.010223821134340312,0.09825820310990376,0.11224908432192253,0.2447236332123423,0.1102050401578305,A375_sim,0,Vemurafenib,Cobimetinib,1.0,0.0,24,24,100,2
-7.75,0.001838833106278117,0.020942398000933622,0.07541912736356027,0.11422111235726824,0.08459643622710625,0.004314954699027321,0.018001549120688104,0.07471382305964452,0.01442729483405265,0.01056820148880409,0.0008758395303707767,0.0010500673531861177,0.01282121527233489,-7.253380200907531e-23,-4.805691225070432e-25,0.00121957751149333,0.010880304795003506,0.009518134135617973,-6.037015735141105e-23,0.07541912736356027,6.865621183141388e-05,0.0017701768944467032,8.595019625843963e-41,1.1164212326816482e-39,0.01282121527233489,0.0,0.10139989708493335,0.08372059669673548,1.0219306519962874,0.0,1107.371180015486,12611.806861356486,45418.46009797276,68785.56163792447,2598.526457056596,10840.786270283797,44993.71591829132,8688.32002766859,6364.319694561979,50945.16467539971,0.010353149251104525,0.09936102697309043,0.11224908432192339,0.24472363321234392,0.11069651721274303,A375_sim,0,Vemurafenib,Cobimetinib,1.0,0.0,24,24,100,2
-7.5,0.0018388331062783466,0.020942398000939826,0.07541912736356027,0.11422111235726798,0.08459643622720485,0.004257658041755529,0.01789672603866417,0.07471382307107007,0.014269381744372624,0.010568201488798348,0.0008867391765752879,0.0010616515285319635,0.012821215272336602,-7.189203365071843e-23,-4.188056250481085e-25,0.0012201987135102377,0.010766034069339502,0.009506549960266385,-5.55842140921577e-23,0.07541912736356027,6.865621183142581e-05,0.00177017689444692,-1.9991253777495325e-42,-3.3465502366303074e-41,0.012821215272336602,0.0,0.10139989708493138,0.08370969705062957,1.0219306519962936,0.0,1107.371180015624,12611.80686136022,45418.46009797276,68785.56163792431,2564.021603539775,10777.660334799282,44993.715925171935,8593.222542278627,6364.3196945585205,50945.164675459084,0.010481992104179525,0.10045716195487468,0.11224908432193864,0.2447236332123724,0.11118615015227835,A375_sim,0,Vemurafenib,Cobimetinib,1.0,0.0,24,24,100,2
-7.25,0.001838833106278212,0.02094239800094181,0.07541912736356027,0.11422111235726937,0.08459643622724111,0.004202031287559959,0.017794810349730582,0.07471382309272305,0.014129398675149878,0.01056820148879117,0.0008975930172231713,0.0010731603663502772,0.012821215272335517,-7.183563712974612e-23,-4.544981993584763e-25,0.0012206095802127226,0.01066460524773861,0.009495041122440893,-5.32849529146264e-23,0.07541912736356027,6.865621183142179e-05,0.00177017689444679,-8.028394624139606e-41,-1.0576717674090323e-39,0.012821215272335517,0.0,0.10139989708493385,0.08369884321001794,1.0219306519962943,0.0,1107.3711800155431,12611.806861361418,45418.46009797276,68785.56163792514,2530.5223891610103,10716.285272358238,44993.71593821167,8508.922767591008,6364.319694554198,50945.164675480926,0.010610293497613497,0.10154616823766002,0.11224908432192779,0.24472363321235213,0.11167372541869214,A375_sim,0,Vemurafenib,Cobimetinib,1.0,0.0,24,24,100,2
-7.0,0.001838833106277231,0.020942398000930475,0.07541912736356027,0.11422111235727593,0.0845964362270758,0.004148030438617422,0.01769572884121862,0.07471382310574046,0.014006246304036055,0.010568201488785322,0.0009083953430325346,0.0010845887081385162,0.01282121527232911,-7.18357343326198e-23,-5.3462907463884775e-25,0.0012208219752891335,0.01057531141411875,0.009483612780646807,-5.745551891631756e-23,0.07541912736356027,6.865621183137862e-05,0.0017701768944458527,-4.125234450569975e-42,-6.204046467275036e-41,0.01282121527232911,0.0,0.10139989708494683,0.08368804088404327,1.0219306519962839,0.0,1107.3711800149524,12611.806861354591,45418.46009797276,68785.5616379291,2498.0023178118654,10656.616993261021,44993.715946050936,8434.758676213487,6364.319694550677,50945.16467538138,0.010737985942979889,0.10262755770595888,0.11224908432186524,0.24472363321223534,0.11215898654019807,A375_sim,0,Vemurafenib,Cobimetinib,1.0,0.0,24,24,100,2
-6.75,0.0018388331062758432,0.020942398000909745,0.07541912736356027,0.11422111235728527,0.08459643622670739,0.0040956125296705455,0.017599409931884198,0.07471382308319846,0.013898885589470408,0.010568201488785697,0.0009191396025852736,0.001095930484153694,0.012821215272320335,-7.139074925072307e-23,-5.225187958298337e-25,0.001220852796461367,0.010497391317227954,0.009472271004632002,-6.115407352118458e-23,0.07541912736356027,6.865621183131497e-05,0.001770176894444528,1.4006573698101775e-40,1.824548616206238e-39,0.012821215272320335,0.0,0.10139989708496493,0.08367729662412211,1.0219306519962619,0.0,1107.3711800141166,12611.806861342107,45418.46009797276,68785.56163793473,2466.43551520957,10598.612390274864,44993.71593247583,8370.104542692636,6364.319694550902,50945.16467515951,0.010864991997087202,0.10370075601952004,0.11224908432177924,0.2447236332120748,0.11264163921457768,A375_sim,0,Vemurafenib,Cobimetinib,1.0,0.0,24,24,100,2
-6.5,0.0018388331062754687,0.02094239800090126,0.07541912736356027,0.11422111235728032,0.08459643622656166,0.004044735598354417,0.017505783626429353,0.07471382308799408,0.013806334116226192,0.010568201488780776,0.000929819697984131,0.0011071797082824791,0.01282121527231759,-7.178005116107153e-23,-3.965750606500201e-25,0.0012207077763315226,0.010430268333533972,0.009461021780498296,-5.564472285320262e-23,0.07541912736356027,6.865621183129621e-05,0.0017701768944441722,4.5725607256919786e-41,5.909625288166782e-40,0.01282121527231759,0.0,0.10139989708496272,0.08366661652857753,1.0219306519962545,0.0,1107.371180013891,12611.806861336998,45418.46009797276,68785.56163793174,2435.796711027312,10542.229311246081,44993.71593536382,8314.368742750434,6364.319694547938,50945.16467507175,0.010991239577680762,0.10476519675158194,0.11224908432176008,0.244723633212039,0.11312140951242465,A375_sim,0,Vemurafenib,Cobimetinib,1.0,0.0,24,24,100,2
-6.25,0.0018388331062770388,0.02094239800092365,0.07541912736356027,0.11422111235724709,0.08459643622690427,0.003995358680513246,0.017414781512754957,0.07471382306794509,0.013727663606063041,0.010568201488789262,0.0009404317908257411,0.0011183320229988386,0.01282121527232673,-7.110356761625124e-23,-3.078361178491377e-25,0.0012204118180984417,0.010373050548642047,0.009449869465790423,-4.4889083550320214e-23,0.07541912736356027,6.865621183136758e-05,0.0017701768944456714,-9.601250352742894e-41,-1.2619835733725541e-39,0.01282121527232673,0.0,0.10139989708492037,0.08365600443607853,1.0219306519962763,0.0,1107.3711800148367,12611.806861350484,45418.46009797276,68785.56163791174,2406.0612360738633,10487.426557445608,44993.71592329003,8266.992254164083,6364.319694553049,50945.16467527808,0.011116683311615139,0.10582046757768236,0.11224908432187274,0.24472363321224938,0.11359812500518715,A375_sim,0,Vemurafenib,Cobimetinib,1.0,0.0,24,24,100,2
-6.0,0.0018388331062781837,0.020942398000945113,0.07541912736356027,0.11422111235725849,0.08459643622726234,0.00394744182130746,0.017326336785964395,0.07471382305589407,0.013661998582077586,0.010568201488795378,0.0009509745717313948,0.0011293855145051645,0.012821215272335283,-7.059550970047896e-23,-4.527388019054609e-25,0.0012199600709622397,0.010325429932658156,0.009438815974290212,-4.611150826441381e-23,0.07541912736356027,6.865621183142244e-05,0.001770176894446761,3.4360716431703806e-42,3.995724717614139e-41,0.012821215272335283,0.0,0.1013998970849232,0.08364546165553095,1.021930651996298,0.0,1107.371180015526,12611.806861363406,45418.46009797276,68785.5616379186,2377.2050289824288,10434.163898024355,44993.715916032736,8227.447852419164,6364.3196945567315,50945.16467549372,0.011241307721009296,0.10686638740778759,0.11224908432193643,0.24472363321236829,0.11407172687330161,A375_sim,0,Vemurafenib,Cobimetinib,1.0,0.0,24,24,100,2
-5.75,0.0018388331062765332,0.020942398000920022,0.07541912736356027,0.11422111235726645,0.08459643622679788,0.0039009460315661314,0.017240384178387042,0.0747138230243399,0.013608512278480285,0.010568201488806848,0.0009614428039254542,0.001140336836592845,0.012821215272323353,-7.090097007239981e-23,-6.410586503965305e-25,0.0012193777246589813,0.010286497837465512,0.009427864652214003,-6.125854842481919e-23,0.07541912736356027,6.865621183134667e-05,0.0017701768944451861,9.484845341970524e-41,1.2325514038257341e-39,0.012821215272323353,0.0,0.10139989708494311,0.08363499342287242,1.0219306519962725,0.0,1107.371180014532,12611.806861348297,45418.46009797276,68785.56163792338,2349.2046099254644,10382.402027872371,44993.71589703037,8195.23764751966,6364.31969456364,50945.16467521401,0.011365050902946842,0.10790263961191651,0.11224908432182416,0.24472363321215862,0.1145419798712251,A375_sim,0,Vemurafenib,Cobimetinib,1.0,0.0,24,24,100,2
-5.5,0.001838833106271803,0.02094239800084241,0.07541912736356027,0.11422111235726294,0.08459643622533229,0.003855833207588901,0.017156859827154824,0.07471382301174936,0.013566421401428313,0.010568201488800959,0.0009718271310283208,0.0011511784840847854,0.01282121527229044,-7.020348625428203e-23,-5.538560922571269e-25,0.0012186598765984535,0.010256054296442097,0.009417023004716174,-6.794602718340481e-23,0.07541912736356027,6.865621183112605e-05,0.0017701768944406772,2.740558033283988e-40,3.572818662914953e-39,0.01282121527229044,0.0,0.10139989708497249,0.08362460909430397,1.0219306519961935,0.0,1107.3711800116835,12611.806861301558,45418.46009797276,68785.56163792127,2322.037032318266,10332.10248787156,44993.715889448176,8169.889928887776,6364.319694560094,50945.164674331405,0.01148780225729306,0.10892851402432857,0.11224908432153946,0.2447236332116271,0.11500846369260939,A375_sim,0,Vemurafenib,Cobimetinib,1.0,0.0,24,24,100,2
-5.25,0.001838833106268767,0.02094239800078998,0.07541912736356027,0.11422111235727268,0.08459643622432819,0.0038120661007060726,0.017075701223079602,0.0747138230101426,0.013534982960224293,0.01056820148879408,0.000982117655580229,0.0011619014528262762,0.01282121527227205,-6.998719482600736e-23,-3.724222792653972e-25,0.0012178343388383806,0.010233194075369694,0.009406300035967803,-5.869217225176374e-23,0.07541912736356027,6.865621183098274e-05,0.0017701768944377836,-2.158862796799882e-42,-3.729560528959345e-41,0.01282121527227205,0.0,0.10139989708500063,0.08361431856874796,1.0219306519961404,0.0,1107.3711800098552,12611.806861269984,45418.46009797276,68785.56163792715,2295.67986448763,10283.227634108951,44993.71588848056,8150.957257067217,6364.31969455595,50945.16467372673,0.01160944478767289,0.10994315864040731,0.11224908432136889,0.2447236332113087,0.11547073372389875,A375_sim,0,Vemurafenib,Cobimetinib,1.0,0.0,24,24,100,2
-5.0,0.0018388331062698336,0.0209423980008074,0.07541912736356027,0.11422111235729238,0.08459643622463726,0.0037696083105387746,0.016996847214199015,0.07471382301730435,0.013513492699128082,0.010568201488791566,0.0009923153552003302,0.0011725034653896531,0.01282121527228238,-6.978313270049183e-23,-3.469102405268386e-25,0.001216902621680737,0.010217552248664951,0.009395698023401912,-4.7771170494172835e-23,0.07541912736356027,6.865621183103225e-05,0.0017701768944388015,-9.87181347798572e-41,-1.2968279561103352e-39,0.01282121527228238,0.0,0.10139989708501,0.08360412086943693,1.021930651996158,0.0,1107.3711800104977,12611.806861280475,45418.46009797276,68785.561637939,2270.1111856130287,10235.740640012034,44993.71589279347,8138.015519338164,6364.319694554437,50945.164673912856,0.011729990050234946,0.1109463579619662,0.11224908432143996,0.24472363321144136,0.11592883388115745,A375_sim,0,Vemurafenib,Cobimetinib,1.0,0.0,24,24,100,2
