time,modulation_synthesize_pERK_DUSP_ERK,tCRAF,tRAS,gdpRAS,gtpRAS,tRAFi,bound_RAFi,free_RAFi,bound_CRAF,unbound_CRAF,active_dimer_CRAF,RAS_bound_CRAF,MEK_bound_CRAF,pCRAF,tMEK,pMEK,tMEKi,tERK,pERK,tDUSP,tmDUSP,tSOS1,pS1134SOS1,uS1134SOS1,synthesize_pERK_DUSP_ERK_kmod,msynthesize_pERK_DUSP_ksyn,tCRAF_obs,tRAS_obs,tMEK_obs,pMEK_percent,tERK_obs,pERK_percent,tDUSP_obs,tmDUSP_obs,gtpRAS_percent,pCRAF_percent,Bound_CRAF_percent,Bound_RAF_percent,Active_CRAF_percent,Active_RAF_percent,tSOS1_obs,pS1134SOS1_obs,Cell_line,Parameter_set,Drug A,Drug B,Concentration A (uM),Concentration B (uM),Time A (h),Time B (h)
3.1666666666666665,0.02080414661654882,0.018814719070363067,0.5267654840966892,0.03788330353801566,0.48888218055867305,2.276436846795883e-20,2.276436846795883e-20,0.0,0.014865771219607193,0.0039489478507558785,0.014865771219607193,0.018813315765712633,0.0020777637344906886,0.009324097660741073,0.19909924955848277,0.1552175012719837,0.690895444652509,0.29845516990990056,0.02080414661654882,0.013545571680159348,155.92728615091727,0.008603602300935017,0.0023214918521454048,0.006282110448789614,2.5145155822892122,228.9627680627723,9.335252482850002,12.667368437853368,11.694416431962914,77.959862539005,12.099232727066093,6.97061023363385,9.006672670706955,5.049389784167247,92.80831704397272,49.55746416340803,79.01139083720759,79.01139083720759,79.01139083720759,79.01139083720759,8.55279397782745,0.2698278896379382,A375_sim,13,Belvarafenib,Cobimetinib,0.1333521432163324,0.5,24,24
3.25,0.021478615829598924,0.01881471907033923,0.5267654840966667,0.03826231703011888,0.4885031670665475,2.3461665835114303e-20,2.3461665835114303e-20,0.0,0.01486576987292133,0.003948949197417905,0.01486576987292133,0.01881331463319529,0.0020777642074818773,0.009483589835995858,0.19909924955839603,0.15521749958350897,0.6908954447147578,0.29845516991061216,0.021478615829598924,0.013252722056883666,157.35401050562558,0.008603602300956642,0.0023715129327190375,0.006232089368237603,2.562456579584447,233.32810328746547,9.335252482848736,12.667368437853325,11.694416431962479,77.95986169098217,12.099232727068477,7.196597008532909,8.984815959656768,5.058498110987486,92.73636595690509,50.40516310948494,79.01138367968892,79.01138367968892,79.01138367968892,79.01138367968892,8.552793977829964,0.275641859044943,A375_sim,13,Belvarafenib,Cobimetinib,0.1333521432163324,0.5,24,24
3.333333333333333,0.02212930281676366,0.018814719070316732,0.5267654840966521,0.038631369641164065,0.4881341144554885,2.4131096932122757e-20,2.4131096932122757e-20,0.0,0.014865768556547043,0.0039489505137696905,0.014865768556547043,0.01881331352868531,0.002077764670872054,0.009635253796714267,0.19909924955833147,0.1552174979214249,0.6908954447760971,0.29845516991104987,0.02212930281676366,0.012996629932045568,158.96500983680235,0.008603602300975064,0.0024190904297453374,0.0061845118712297266,2.6086398086809415,237.53338244599973,9.33525248284754,12.667368437853296,11.694416431962155,77.95986085620567,12.099232727069944,7.4146153418481475,8.965303077926295,5.0686841140831325,92.66630582157212,51.211255191768664,79.01137668327029,79.01137668327029,79.01137668327029,79.01137668327029,8.552793977832104,0.28117180979776074,A375_sim,13,Belvarafenib,Cobimetinib,0.1333521432163324,0.5,24,24
3.4166666666666665,0.022746089159030654,0.018814719070313252,0.5267654840966448,0.038984740602762344,0.48778074349388245,2.4052448678932026e-20,2.4052448678932026e-20,0.0,0.014865767290842853,0.003948951779470397,0.014865767290842853,0.01881331246948955,0.0020777651175852077,0.00977753183364473,0.1990992495582954,0.15521749631052625,0.6908954448356247,0.29845516991142923,0.022746089159030654,0.012774898732934956,160.72524508566184,0.008603602300979899,0.002463603239547144,0.006139999061432756,2.6523559815705022,241.51402031692993,9.335252482847356,12.667368437853282,11.694416431961974,77.95986004712653,12.099232727071215,7.621274969296353,8.948095199155238,5.079696354902381,92.59922265605204,51.96746120473401,79.01136995608273,79.01136995608273,79.01136995608273,79.01136995608273,8.552793977832668,0.2863455507777892,A375_sim,13,Belvarafenib,Cobimetinib,0.1333521432163324,0.5,24,24
3.5,0.023318888686807787,0.018814719070295065,0.5267654840966198,0.03931653106724,0.48744895302937913,2.48880416964054e-20,2.48880416964054e-20,0.0,0.014865766096997246,0.003948952973297822,0.014865766096997246,0.018813311473519237,0.002077765540216764,0.009909011588119567,0.19909924955821254,0.15521749477670674,0.6908954448923155,0.29845516991205095,0.023318888686807787,0.012585134262193973,162.5983809748737,0.00860360230098851,0.0025044610904323096,0.0060991412105562,2.692901494276582,245.20594924634094,9.335252482846387,12.667368437853234,11.694416431961557,77.95985927677961,12.099232727073298,7.813196432040168,8.933129287029278,5.09128323996004,92.53623628460265,52.6662744795592,79.01136361088442,79.01136361088442,79.01136361088442,79.01136361088442,8.552793977833668,0.29109447447897024,A375_sim,13,Belvarafenib,Cobimetinib,0.1333521432163324,0.5,24,24
3.583333333333333,0.023840064777475006,0.018814719070246035,0.5267654840965421,0.039621565843455255,0.48714391825308706,2.6684459839792237e-20,2.6684459839792237e-20,0.0,0.014865764994442279,0.003948954075803752,0.014865764994442279,0.018813310556582096,0.0020777659317938344,0.010028528602422926,0.19909924955798275,0.15521749334526605,0.6908954449451223,0.298455169913939,0.023840064777475006,0.012424938252496584,164.54751548302792,0.008603602301013018,0.002541227744860576,0.006062374556152442,2.7297485935490595,248.56111391659906,9.335252482843782,12.667368437853087,11.694416431960404,77.95985855791123,12.099232727079624,7.98782101323606,8.920318592421076,5.10319937641804,92.47832915411871,53.301505937881565,79.01135775102425,79.01135775102425,79.01135775102425,79.01135775102425,8.552793977836517,0.29536787684402416,A375_sim,13,Belvarafenib,Cobimetinib,0.1333521432163324,0.5,24,24
3.6666666666666665,0.02430377743777859,0.018814719070246358,0.5267654840965557,0.03989601008311054,0.4868694740134455,2.6690230821426946e-20,2.6690230821426946e-20,0.0,0.014865763998002443,0.003948955072243927,0.014865763998002443,0.018813309730605302,0.002077766286878611,0.010135278098140311,0.1990992495580187,0.15521749203789234,0.6908954449936439,0.29845516991350973,0.02430377743777859,0.0122919088447043,166.53633727310773,0.008603602301007615,0.0025736338776482758,0.006029968423359338,2.762497643081529,251.54312487934385,9.3352524828438,12.667368437853114,11.694416431960583,77.95985790125293,12.099232727078187,8.143191972456586,8.909554218486504,5.115213527489731,92.42622926376147,53.86887819211855,79.01135245495745,79.01135245495745,79.01135245495745,79.01135245495745,8.552793977835888,0.2991344541049815,A375_sim,13,Belvarafenib,Cobimetinib,0.1333521432163324,0.5,24,24
3.75,0.02470423348854344,0.01881471907029183,0.5267654840966476,0.040136506549038053,0.48662897754760986,2.634808638956492e-20,2.634808638956492e-20,0.0,0.01486576311991176,0.003948955950380072,0.01486576311991176,0.018813309006032845,0.0020777666011381193,0.01022876836855704,0.19909924955828656,0.15521749087121592,0.690895445037239,0.29845516991123044,0.02470423348854344,0.012183646177212886,168.5297008958845,0.008603602300937006,0.0026014365687662593,0.006002165732170748,2.790752508089028,254.11591152219586,9.335252482846217,12.667368437853288,11.69441643196193,77.95985731517074,12.099232727070548,8.27736825463309,8.900707565286925,5.127112000703731,92.38057394404494,54.36577782714873,79.01134778772533,79.01134778772533,79.01134778772533,79.01134778772533,8.552793977827681,0.3023659715748298,A375_sim,13,Belvarafenib,Cobimetinib,0.1333521432163324,0.5,24,24
3.833333333333333,0.025037161320968195,0.018814719070304645,0.5267654840966788,0.04033974917656761,0.486425734920111,2.743498531406234e-20,2.743498531406234e-20,0.0,0.014865762372580487,0.003948956697724164,0.014865762372580487,0.018813308393149784,0.0020777668702019274,0.010308718583495606,0.19909924955838265,0.15521748986012834,0.6908954450749548,0.29845516990956045,0.025037161320968195,0.01209776056235989,170.4938048723053,0.008603602300914686,0.0026244648886909515,0.005979137412223736,2.8142239364461386,256.25313558431066,9.335252482846897,12.667368437853346,11.694416431962411,77.95985680730219,12.099232727064953,8.388918620024272,8.893633348051537,5.138698961003644,92.34199081100687,54.79071223426293,79.011343815615,79.011343815615,79.011343815615,79.011343815615,8.552793977825088,0.30504256204542757,A375_sim,13,Belvarafenib,Cobimetinib,0.1333521432163324,0.5,24,24
3.9166666666666665,0.025305333313743246,0.018814719070253262,0.5267654840966695,0.04050536349760524,0.4862601205990639,2.985695467301424e-20,2.985695467301424e-20,0.0,0.014865761760178358,0.003948957310074906,0.014865761760178358,0.018813307893263218,0.0020777670919175806,0.010375257362129606,0.1990992495583306,0.15521748901519067,0.6908954451063976,0.29845516990874,0.025305333313743246,0.012031885134874402,172.39800580758222,0.008603602300943355,0.0026429091781795156,0.00596069312276384,2.833117632454711,257.9735277614476,9.335252482844167,12.667368437853328,11.69441643196215,77.95985638294242,12.099232727062205,8.478771978210656,8.888173210594525,5.149805790921289,92.31055095284638,55.14436502287858,79.01134056092101,79.01134056092101,79.01134056092101,79.01134056092101,8.55279397782842,0.3071863488959421,A375_sim,13,Belvarafenib,Cobimetinib,0.1333521432163324,0.5,24,24
